design,resolution,depth,case,lambda,parent_n,observed_n,train_n,validation_n,region_D,parent_membership,membership_status,iterations,score,stopped,tail_feasible,invisible_initial,invisible_final,true_invisible,observed_law_TV,reference_RMSE,selected_oracle_RMSE,min_raw_ell_gain,Shat_0,Strue_0,Shat_1,Strue_1,Shat_2,Strue_2
coarse_d2,coarse,2,lambda1_N400_r004,0,400,281,144,137,119,True,included,36,7.823938893358198e-09,True,True,0.1111111111111111,0.11111111111111088,0.25,0.059931206315103736,0.11356485710284231,0.23990981202602144,0.0,0.4716568540350365,0.5625,0.3631643490773243,0.46875,0.11111111111111088,0.25
coarse_d2,coarse,2,lambda1_N400_r005,0,400,272,133,139,128,True,included,48,7.616477069953308e-09,True,True,0.1111111111111111,0.11111111111111094,0.25,0.07144011496260284,0.08781327843894686,0.2098730229684039,5.684341886080802e-14,0.5283803022711675,0.5625,0.4169886400807421,0.46875,0.11111111111111094,0.25
coarse_d2,coarse,2,lambda1_N400_r006,0,400,276,127,149,124,True,included,35,9.59516611736536e-09,True,True,0.1111111111111111,0.11111111111111104,0.25,0.06628119215802583,0.10482786931163168,0.23883246262069,5.684341886080802e-14,0.4803316107669959,0.5625,0.3855341426931562,0.46875,0.11111111111111104,0.25
coarse_d2,coarse,2,lambda1_N400_r007,0,400,272,143,129,128,True,included,52,8.303378899487304e-09,True,True,0.1111111111111111,0.11111111111111113,0.25,0.03355322534862396,0.10840173928486088,0.23745038712665317,-5.684341886080802e-14,0.48367015528650203,0.5625,0.37001528793983074,0.46875,0.11111111111111113,0.25
coarse_d2,coarse,2,lambda1_N400_r008,0,400,274,137,137,126,True,included,41,7.437059954086545e-09,True,True,0.1111111111111111,0.11111111111111069,0.25,0.0645561374648673,0.10593930802204114,0.23201588526706332,-5.684341886080802e-14,0.49017911474422704,0.5625,0.37309971483786464,0.46875,0.11111111111111069,0.25
coarse_d2,coarse,2,lambda1_N400_r009,0,400,257,128,129,143,True,included,38,7.660286143409782e-09,True,True,0.1111111111111111,0.11111111111111123,0.25,0.1135346364441214,0.16339887072848916,0.2868273198165052,0.0,0.3892533109880248,0.5625,0.29327055916537004,0.46875,0.11111111111111123,0.25
coarse_d2,coarse,2,lambda1_N400_r010,0,400,270,123,147,130,True,included,38,6.920998569310339e-09,True,True,0.1111111111111111,0.11111111111111112,0.25,0.05963284142154898,0.11897673507833315,0.2505534069716167,0.0,0.4530300472413122,0.5625,0.36295493179774335,0.46875,0.11111111111111112,0.25
coarse_d2,coarse,2,lambda1_N400_r011,0,400,269,137,132,131,True,included,28,9.251683553086583e-09,True,True,0.1111111111111111,0.111111111111111,0.25,0.06411671771403935,0.13865745622678063,0.2598896469741035,-5.684341886080802e-14,0.42513979805667135,0.5625,0.3290370014381533,0.46875,0.111111111111111,0.25
coarse_d2,coarse,2,lambda1_N400_r012,0,400,258,129,129,142,True,included,46,7.777407562070596e-09,True,True,0.1111111111111111,0.11111111111111119,0.25,0.04787305973046076,0.12910768086186386,0.25531447922225803,-5.684341886080802e-14,0.44943827534587355,0.5625,0.33483471807134535,0.46875,0.11111111111111119,0.25
coarse_d2,coarse,2,lambda1_N400_r013,0,400,276,133,143,124,True,included,34,9.893079592253027e-09,True,True,0.1111111111111111,0.11111111111111113,0.25,0.07020626971979219,0.104801937480796,0.22074905979387768,0.0,0.49771326022829676,0.5625,0.37147259670329646,0.46875,0.11111111111111113,0.25
coarse_d2,coarse,2,lambda1_N400_r014,0,400,278,143,135,122,True,included,37,7.612674206441842e-09,True,True,0.1111111111111111,0.11111111111111091,0.25,0.04971311117269631,0.09345022271403855,0.2222877836889976,0.0,0.511810756029273,0.5625,0.40287656480191614,0.46875,0.11111111111111091,0.25
coarse_d2,coarse,2,lambda1_N400_r015,0,400,269,124,145,131,True,included,41,7.0191816275059845e-09,True,True,0.1111111111111111,0.11111111111111097,0.25,0.046571344976889986,0.11525799191351675,0.23772615529871607,-5.684341886080802e-14,0.47203253612406026,0.5625,0.35749026504222536,0.46875,0.11111111111111097,0.25
coarse_d2,coarse,2,lambda1_N400_r016,0,400,265,145,120,135,True,included,31,9.334930708510516e-09,True,True,0.1111111111111111,0.11111111111111097,0.25,0.052480177884009764,0.10882375738836964,0.22885790971687792,5.684341886080802e-14,0.4750367028486976,0.5625,0.3760791916998615,0.46875,0.11111111111111097,0.25
