case,rho,design,parent_n,replicate,observed_n,A,B,C,D,train_n,validation_n,true_membership,logE_true,distance_to_threshold,prediction,arithmetic,method,resolved_bin_L1_Q,bright_probability_RMSE_Q,bright_probability_RMSE_P_reference,record_law_TV,invisible_mass,true_invisible_mass,Q_mass_resolved,seconds,iterations,score,status,tail_feasible,min_mean_loglik_gain,invisible_drift
rho0.90_N16000_r000,0.9,deep,16000,0,12517,8085,2178,2254,3483,6274,6243,True,-868.1363382969542,871.1320705705083,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.468413482965809,0.10752726723609755,0.11515785565591329,0.23705133690815022,0.0,0.04394840071310855,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r001,0.9,shallow,16000,1,11357,6532,2342,2483,4643,5646,5711,True,-757.7131044857542,760.7088367593083,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.06698113562559407,0.0027037741445386826,0.021971648435578545,0.031035712153625335,0.1425369565965509,0.24532588993020876,0.8203556062201742,0.005375570000069274,39,8.109088892084464e-08,score_tolerance_reached_not_global_certificate,True,5.622169396701793e-12,2.7755575615628914e-17
rho0.90_N16000_r001,0.9,shallow,16000,1,11357,6532,2342,2483,4643,5646,5711,True,-757.7131044857542,760.7088367593083,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.10221175959033446,0.014304585056443773,0.07141594030379131,0.04990657750259979,0.0,0.24532588993020876,0.9009417223040961,0.004409767999959513,41,7.645844002368563e-08,score_tolerance_reached_not_global_certificate,,2.475353255704249e-12,0.1425369565965509
rho0.90_N16000_r001,0.9,shallow,16000,1,11357,6532,2342,2483,4643,5646,5711,True,-757.7131044857542,760.7088367593083,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.44250341611666355,0.12959211835691115,0.1839367172154135,0.27617845730178303,0.0,0.24532588993020876,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r001,0.9,deep,16000,1,12520,8138,2130,2252,3480,6238,6282,True,-880.5155261485895,883.5112584221436,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.09078610382368765,0.005592108983867149,0.0034846793204933602,0.03603114388270115,0.033279071736023486,0.04394840071310855,0.9464360229007442,0.009880046000034781,65,8.914788495734358e-08,score_tolerance_reached_not_global_certificate,True,7.144063118857957e-12,0.0
rho0.90_N16000_r001,0.9,deep,16000,1,12520,8138,2130,2252,3480,6238,6282,True,-880.5155261485895,883.5112584221436,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3065807693303442,0.040332928430664126,0.048423829655595496,0.08631001162201049,0.0,0.04394840071310855,0.9778200352377371,0.007619078999937301,64,8.780190752233352e-08,score_tolerance_reached_not_global_certificate,,8.907541371172556e-12,0.033279071736023486
rho0.90_N16000_r001,0.9,deep,16000,1,12520,8138,2130,2252,3480,6238,6282,True,-880.5155261485895,883.5112584221436,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.45711663462965896,0.1068989495612031,0.11447555294417236,0.23401363821499513,0.0,0.04394840071310855,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r002,0.9,shallow,16000,2,11464,6670,2477,2317,4536,5751,5713,True,-735.924446412281,738.920178685835,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.07602191837600453,0.002662415002440562,0.023115730447023773,0.03793738718819621,0.1425369565965509,0.24532588993020876,0.8328915788460306,0.0066704339999432705,37,9.761210816703325e-08,score_tolerance_reached_not_global_certificate,True,1.3322676295501878e-14,0.0
rho0.90_N16000_r002,0.9,shallow,16000,2,11464,6670,2477,2317,4536,5751,5713,True,-735.924446412281,738.920178685835,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.10807709235577231,0.014632120568909446,0.07151351132601672,0.05551680559629747,0.0,0.24532588993020876,0.9071016026230397,0.004679185000100006,37,7.771627386077284e-08,score_tolerance_reached_not_global_certificate,,2.220446049250313e-15,0.1425369565965509
rho0.90_N16000_r002,0.9,shallow,16000,2,11464,6670,2477,2317,4536,5751,5713,True,-735.924446412281,738.920178685835,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.42508167752086756,0.1253162835922536,0.1797061335933304,0.2671588556999989,0.0,0.24532588993020876,0.9999999999999999,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r002,0.9,deep,16000,2,12509,8179,2205,2125,3491,6272,6237,True,-854.3164797749612,857.3122120485152,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.1045141462588339,0.001928152971200722,0.002892334561494415,0.04260026392142917,0.033279071736023486,0.04394840071310855,0.9561981955925702,0.008020610000016859,53,8.128021139143699e-08,score_tolerance_reached_not_global_certificate,True,2.2996715642875643e-11,0.0
rho0.90_N16000_r002,0.9,deep,16000,2,12509,8179,2205,2125,3491,6272,6237,True,-854.3164797749612,857.3122120485152,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.3289985106536969,0.042764297882780807,0.050842981801388715,0.09416775917758297,0.0,0.04394840071310855,0.9818514128521738,0.00704194100001132,52,8.713508869995223e-08,score_tolerance_reached_not_global_certificate,,1.929389981114582e-11,0.033279071736023486
rho0.90_N16000_r002,0.9,deep,16000,2,12509,8179,2205,2125,3491,6272,6237,True,-854.3164797749612,857.3122120485152,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.46138204794420373,0.10787713926111483,0.11548439136416294,0.2307596532786118,0.0,0.04394840071310855,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r003,0.9,shallow,16000,3,11346,6595,2410,2341,4654,5737,5609,True,-720.1841645265258,723.1798968000799,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.08014350471750907,0.0036769152213248467,0.022167775105411604,0.036245777236524834,0.1425369565965509,0.24532588993020876,0.8318899817471858,0.00608552400001372,38,8.958627645635472e-08,score_tolerance_reached_not_global_certificate,True,1.1102230246251565e-14,2.7755575615628914e-17
rho0.90_N16000_r003,0.9,shallow,16000,3,11346,6595,2410,2341,4654,5737,5609,True,-720.1841645265258,723.1798968000799,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.11472764834141515,0.013565666322618764,0.07024336723584453,0.05551156344559856,0.0,0.24532588993020876,0.9073538920572721,0.008124764000058349,42,7.420477787789537e-08,score_tolerance_reached_not_global_certificate,,0.0,0.1425369565965509
rho0.90_N16000_r003,0.9,shallow,16000,3,11346,6595,2410,2341,4654,5737,5609,True,-720.1841645265258,723.1798968000799,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.43506901774511314,0.12447547363814596,0.17910104414810618,0.27236664786210585,0.0,0.24532588993020876,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r003,0.9,deep,16000,3,12424,8097,2205,2122,3576,6274,6150,True,-844.4302899810622,847.4260222546162,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.10009606505722121,0.0030044362598799054,0.0021860326070043084,0.04102331032848322,0.033279071736023486,0.04394840071310855,0.9513348960836989,0.009406409999996868,39,8.175208480356158e-08,score_tolerance_reached_not_global_certificate,True,2.9626234798740825e-09,0.0
rho0.90_N16000_r003,0.9,deep,16000,3,12424,8097,2205,2122,3576,6274,6150,True,-844.4302899810622,847.4260222546162,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.32855115776113863,0.040828495219746075,0.04889650614252471,0.09293680507948654,0.0,0.04394840071310855,0.9796622462882822,0.008482700999934423,42,7.420477787789537e-08,score_tolerance_reached_not_global_certificate,,3.019806626980426e-14,0.033279071736023486
rho0.90_N16000_r003,0.9,deep,16000,3,12424,8097,2205,2122,3576,6274,6150,True,-844.4302899810622,847.4260222546162,stratumwise_add_one,float64 evaluation; not a rational certificate,A_only_histogram,0.4688551422628608,0.10687969008523464,0.11452480714542221,0.23589078522101337,0.0,0.04394840071310855,1.0,0.0,0,0.0,deliberately_uncorrected_histogram,,,
rho0.90_N16000_r004,0.9,shallow,16000,4,11398,6593,2443,2362,4602,5732,5666,True,-710.5509577816563,713.5466900552103,stratumwise_add_one,float64 evaluation; not a rational certificate,D_completion,0.0801198035827118,0.0013094626345221514,0.023690578776927124,0.03434386860503637,0.1425369565965509,0.24532588993020876,0.8304262859266864,0.005469978999940395,40,8.643964646155906e-08,score_tolerance_reached_not_global_certificate,True,7.549516567451064e-15,2.7755575615628914e-17
rho0.90_N16000_r004,0.9,shallow,16000,4,11398,6593,2443,2362,4602,5732,5666,True,-710.5509577816563,713.5466900552103,stratumwise_add_one,float64 evaluation; not a rational certificate,no_D_ablation,0.1091127164573502,0.015518679493001111,0.07264076601743272,0.05455937517850688,0.0,0.24532588993020876,0.9077221034221943,0.0041220840000733006,40,9.765434061392853e-08,score_tolerance_reached_not_global_certificate,,2.6645352591003757e-15,0.1425369565965509
