A,B,C,D,EM_global_optimality,EM_invisible_mass,EM_iterations,EM_positive_score,EM_stop_tolerance_met,EM_tail_class_final,Shat_0,Shat_1,Shat_2,Strue_0,Strue_1,Strue_2,case,coverage_decision,full_parent_empirical_RMSE,lambda,max_mass_sum_error,observed_law_TV,parent_n,raw_min_ell_increment,reference_survival_RMSE,rep,selected_oracle_RMSE,status,train_n,true_in_confidence_set,true_invisible_mass,validation_n
190,476,467,467,not_certified,0.11111111111111109,52,9.276657717565276e-09,True,True,0.4949983990251768,0.38587082503166426,0.11111111111111109,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r013,included,0.0026907856100589224,-3/4,4.440892098500626e-16,0.021284965727523163,1600,0.0,0.0649374600397682,13,0.19907727614328297,computed,596,True,0.203125,537
208,465,479,448,not_certified,0.11111111111111108,41,7.221784947830656e-09,True,True,0.4825550935484688,0.37713735457207215,0.11111111111111108,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r014,included,0.010226794825732724,-3/4,5.551115123125783e-16,0.019241188188087493,1600,0.0,0.07018399549616662,14,0.19785285563009136,computed,565,True,0.203125,587
208,465,465,462,not_certified,0.1111111111111111,39,9.850831720733273e-09,True,True,0.4854884853550167,0.3734819440477058,0.1111111111111111,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r015,included,0.005922535560021305,-3/4,3.3306690738754696e-16,0.016802411277809706,1600,-2.2737367544323206e-13,0.07050726681519963,15,0.19991012327709676,computed,544,True,0.203125,594
188,486,459,467,not_certified,0.1111111111111111,41,7.271618148454435e-09,True,True,0.46897596636590705,0.35601516953323564,0.1111111111111111,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r016,included,0.006964785053763919,-3/4,4.440892098500626e-16,0.03017817058497098,1600,0.0,0.08029276295904444,16,0.20724596453861963,computed,577,True,0.203125,556
221,496,438,445,not_certified,0.11111111111111101,42,7.71152624162166e-09,True,True,0.48830417704890405,0.3675559639039584,0.11111111111111101,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r017,included,0.010299349019240657,-3/4,3.3306690738754696e-16,0.03812912960737132,1600,-2.2737367544323206e-13,0.07167090623338469,17,0.19270600420639253,computed,547,True,0.203125,608
214,446,481,459,not_certified,0.1111111111111111,41,9.952211834074377e-09,True,True,0.45956504041220936,0.3579228101524996,0.1111111111111111,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r018,included,0.015491011813014887,-3/4,4.440892098500626e-16,0.028625239004018734,1600,0.0,0.08244722937421282,18,0.21003962575236362,computed,580,True,0.203125,561
209,473,439,479,not_certified,0.11111111111111127,42,9.390572246456576e-09,True,True,0.4873930169997518,0.3705243015562742,0.11111111111111127,0.5361328125,0.435791015625,0.203125,lambda0_N1600_r019,included,0.00710733796723852,-3/4,4.440892098500626e-16,0.01769002463730516,1600,-2.2737367544323206e-13,0.07095037556675696,19,0.1968012168114671,computed,557,True,0.203125,564
65,104,106,125,not_certified,0.11111111111111133,42,7.275106616527245e-09,True,True,0.5165330097598152,0.39435021828540273,0.11111111111111133,0.5625,0.46875,0.25,lambda1_N400_r000,included,0.019107699146330155,0,4.440892098500626e-16,0.05340432206009003,400,0.0,0.09476007451754323,0,0.22047076049395387,computed,131,True,0.25,144
72,99,109,120,not_certified,0.11111111111111098,43,9.366422456683461e-09,True,True,0.5172511789380857,0.4089342067246538,0.11111111111111098,0.5625,0.46875,0.25,lambda1_N400_r001,included,0.01445178766335385,0,6.661338147750939e-16,0.06831914298979166,400,-5.684341886080802e-14,0.09113270249009088,1,0.21905712162359298,computed,145,True,0.25,135
57,111,83,149,not_certified,0.11111111111111095,46,7.9149254268856e-09,True,True,0.4882219707816021,0.35928006675077817,0.11111111111111095,0.5625,0.46875,0.25,lambda1_N400_r002,included,0.03156507827753111,0,6.661338147750939e-16,0.073851837775603,400,-5.684341886080802e-14,0.11074146372963836,2,0.22602134519426156,computed,108,True,0.25,143
70,109,80,141,not_certified,0.11111111111111102,36,8.103128669986694e-09,True,True,0.44822001504936193,0.33427438559190303,0.11111111111111102,0.5625,0.46875,0.25,lambda1_N400_r003,included,0.015360257159305639,0,4.440892098500626e-16,0.0764291192277954,400,-5.684341886080802e-14,0.12965817789807088,3,0.24954628252928487,computed,136,True,0.25,123
69,111,101,119,not_certified,0.11111111111111088,36,7.823938893358198e-09,True,True,0.47165685403503654,0.3631643490773243,0.11111111111111088,0.5625,0.46875,0.25,lambda1_N400_r004,included,0.03049077729412616,0,6.661338147750939e-16,0.059931206315103736,400,0.0,0.1135648571028423,4,0.23990981202602144,computed,144,True,0.25,137
55,107,110,128,not_certified,0.11111111111111094,48,7.616477069953308e-09,True,True,0.5283803022711676,0.41698864008074216,0.11111111111111094,0.5625,0.46875,0.25,lambda1_N400_r005,included,0.011836560592784826,0,6.661338147750939e-16,0.07144011496260284,400,5.684341886080802e-14,0.08781327843894683,5,0.2098730229684039,computed,133,True,0.25,139
70,107,99,124,not_certified,0.11111111111111104,35,9.59516611736536e-09,True,True,0.48033161076699593,0.3855341426931562,0.11111111111111104,0.5625,0.46875,0.25,lambda1_N400_r006,included,0.020013016597538028,0,3.3306690738754696e-16,0.06628119215802583,400,5.684341886080802e-14,0.10482786931163167,6,0.23883246262069,computed,127,True,0.25,149
71,109,92,128,not_certified,0.11111111111111113,52,8.303378899487304e-09,True,True,0.48367015528650203,0.37001528793983074,0.11111111111111113,0.5625,0.46875,0.25,lambda1_N400_r007,included,0.01363589014329464,0,4.440892098500626e-16,0.03355322534862396,400,-5.684341886080802e-14,0.10840173928486088,7,0.23745038712665317,computed,143,True,0.25,129
64,100,110,126,not_certified,0.11111111111111069,41,7.437059954086545e-09,True,True,0.49017911474422704,0.3730997148378647,0.11111111111111069,0.5625,0.46875,0.25,lambda1_N400_r008,included,0.01595893166850462,0,8.881784197001252e-16,0.0645561374648673,400,-5.684341886080802e-14,0.10593930802204111,8,0.23201588526706332,computed,137,True,0.25,137
63,99,95,143,not_certified,0.11111111111111123,38,7.660286143409782e-09,True,True,0.38925331098802485,0.29327055916537004,0.11111111111111123,0.5625,0.46875,0.25,lambda1_N400_r009,included,0.03218598297395935,0,6.661338147750939e-16,0.1135346364441214,400,0.0,0.16339887072848916,9,0.2868273198165052,computed,128,True,0.25,129
72,101,97,130,not_certified,0.11111111111111112,38,6.920998569310339e-09,True,True,0.4530300472413122,0.3629549317977434,0.11111111111111112,0.5625,0.46875,0.25,lambda1_N400_r010,included,0.020978659791956848,0,4.440892098500626e-16,0.05963284142154898,400,0.0,0.11897673507833312,10,0.2505534069716167,computed,123,True,0.25,147
73,106,90,131,not_certified,0.111111111111111,28,9.251683553086583e-09,True,True,0.42513979805667135,0.3290370014381533,0.111111111111111,0.5625,0.46875,0.25,lambda1_N400_r011,included,0.02269590638566055,0,4.440892098500626e-16,0.06411671771403935,400,-5.684341886080802e-14,0.13865745622678063,11,0.2598896469741035,computed,137,True,0.25,132
